h12_kj_mol,rc,mean_evb_energy_kj_mol,counts
20.0,-0.12639569795082467,nan,0
20.0,-0.12494446789555477,-36909.059869414414,2
40.0,-0.18154244005108014,-37271.042538019625,1
40.0,-0.18009120999581024,-37953.68045433117,2
40.0,-0.17863997994054037,-38094.77828646961,2
40.0,-0.1771887498852705,nan,0
40.0,-0.1757375198300006,-38824.61520330008,1
40.0,-0.17428628977473073,-36618.358771376246,1
40.0,-0.17283505971946084,-38007.48917824951,2
40.0,-0.17138382966419097,-37522.13533273082,2
40.0,-0.1699325996089211,-38039.44085567782,4
40.0,-0.1684813695536512,-38564.76442630854,1
40.0,-0.16703013949838133,-36413.5076965184,2
40.0,-0.16557890944311143,-37652.0272423334,4
40.0,-0.16412767938784156,-37695.01257136965,5
40.0,-0.1626764493325717,-37616.05632755373,3
40.0,-0.1612252192773018,-37873.17032374439,6
40.0,-0.15977398922203193,-37567.365511574215,5
40.0,-0.15832275916676203,-38786.23231571181,4
40.0,-0.15687152911149216,-37333.988412615414,6
40.0,-0.1554202990562223,-38469.93553110766,6
40.0,-0.1539690690009524,-37794.948752876386,3
40.0,-0.15251783894568252,-37074.74386249529,4
40.0,-0.15106660889041262,-37420.86898236953,6
40.0,-0.14961537883514275,-37987.07970931372,3
40.0,-0.14816414877987288,-37059.606533488084,3
40.0,-0.146712918724603,-37434.01635596875,2
40.0,-0.14526168866933312,-37612.42209724782,5
40.0,-0.14381045861406322,-37609.266991692886,4
40.0,-0.14235922855879335,-37407.93089078647,6
40.0,-0.14090799850352348,-37380.9696461733,1
40.0,-0.13945676844825358,-36161.92116313263,1
40.0,-0.1380055383929837,nan,0
40.0,-0.13655430833771381,-37654.870610920145,1
40.0,-0.13510307828244394,-37460.73149469305,1
40.0,-0.13365184822717407,nan,0
40.0,-0.13220061817190418,nan,0
40.0,-0.1307493881166343,nan,0
40.0,-0.1292981580613644,nan,0
40.0,-0.12784692800609454,-37116.96171063469,1
40.0,-0.12639569795082467,nan,0
40.0,-0.12494446789555477,-36910.134599258556,2
80.0,-0.18154244005108014,-37275.09323558107,1
80.0,-0.18009120999581024,-37955.87144716096,2
80.0,-0.17863997994054037,-38096.617130637664,2
80.0,-0.1771887498852705,nan,0
80.0,-0.1757375198300006,-38824.66375563445,1
80.0,-0.17428628977473073,-36622.0347357322,1
80.0,-0.17283505971946084,-38007.89039586889,2
80.0,-0.17138382966419097,-37524.5046317949,2
80.0,-0.1699325996089211,-38040.14201422618,4
80.0,-0.1684813695536512,-38564.77562294566,1
80.0,-0.16703013949838133,-36429.77296336327,2
80.0,-0.16557890944311143,-37655.823927655976,4
80.0,-0.16412767938784156,-37703.16961882516,5
80.0,-0.1626764493325717,-37620.02009461076,3
80.0,-0.1612252192773018,-37876.81001373693,6
80.0,-0.15977398922203193,-37571.06312424027,5
80.0,-0.15832275916676203,-38787.176591484036,4
80.0,-0.15687152911149216,-37337.908319243266,6
80.0,-0.1554202990562223,-38471.28319056598,6
80.0,-0.1539690690009524,-37798.021689992944,3
80.0,-0.15251783894568252,-37086.60060503595,4
80.0,-0.15106660889041262,-37432.09761364399,6
80.0,-0.14961537883514275,-37995.67499030228,3
80.0,-0.14816414877987288,-37064.97384516863,3
80.0,-0.146712918724603,-37440.5305972755,2
