gap_kj_mol,mean_free_energy_kj_mol,std_free_energy_kj_mol
-20833.333333333336,12.180893840879527,3.051693741462372
-20500.0,11.471499247511977,2.756075322371664
-20166.666666666668,12.956635399478762,2.4763441588596993
-19833.333333333336,12.25864519225766,1.7625706718948715
-19500.0,13.875504353584567,2.454082395864606
-19166.666666666668,13.920385484402974,1.2216028205189038
-18833.333333333336,14.661270361316317,0.8243700410300959
-18500.0,15.49760689040725,0.4032564402573826
-18166.666666666668,15.184348995623754,2.999512003578556
-17833.333333333336,16.05661952288466,1.9949773266273065
-17500.0,15.364558954079198,0.4163440201119074
-17166.666666666668,17.32951812992765,
-16833.333333333336,17.262387999584753,
-16500.000000000004,15.457464787366208,
-16166.666666666668,14.204222389218122,1.6522476328367783
-15833.333333333336,14.66699604384014,
-15500.000000000004,,
-15166.666666666668,,
-14833.333333333336,,
-14500.000000000004,,
-14166.666666666668,,
-13833.333333333336,,
-13500.000000000004,,
-13166.666666666668,,
-12833.333333333336,,
-12500.000000000004,,
-12166.666666666668,,
-11833.333333333336,,
-11500.000000000004,,
-11166.666666666668,,
-10833.333333333336,,
-10500.000000000004,,
-10166.666666666668,,
-9833.333333333336,,
-9500.000000000004,,
-9166.666666666668,,
-8833.333333333336,,
-8500.000000000004,,
-8166.666666666668,,
-7833.333333333336,,
-7500.000000000004,,
-7166.666666666668,,
-6833.333333333336,,
-6500.000000000004,,
-6166.666666666668,,
-5833.333333333336,,
-5500.000000000004,,
-5166.666666666668,,
-4833.333333333336,,
-4500.000000000004,,
-4166.666666666668,,
-3833.3333333333358,,
-3500.0000000000036,,
-3166.666666666668,,
-2833.3333333333358,,
-2500.0000000000036,,
-2166.666666666668,,
-1833.3333333333358,,
-1500.0000000000036,,
-1166.6666666666679,,
-833.3333333333358,,
-500.00000000000364,,
-166.66666666666788,,
166.66666666666424,,
499.99999999999636,,
833.3333333333321,,
1166.6666666666642,,
1499.9999999999964,,
1833.3333333333321,,
2166.6666666666642,,
2499.9999999999964,,
2833.333333333332,,
3166.6666666666642,,
3499.9999999999964,,
3833.333333333332,,
4166.666666666664,,
4499.999999999996,,
4833.333333333332,,
5166.666666666664,,
5499.999999999996,,
5833.333333333332,,
6166.666666666664,,
6499.999999999996,,
6833.333333333332,,
7166.666666666664,,
